id	path	symbol	line	file_sha256
H01	v2/driver-hsr/src/driver.ts	hostCommandFor	384	a01bf7d4e955ee1cd79f6bab88c95d02928841be6f0a8ffe671a87d17a8413d3
H02	v2/driver-hsr/src/driver.ts	connectSocket	530	a01bf7d4e955ee1cd79f6bab88c95d02928841be6f0a8ffe671a87d17a8413d3
H02	v2/driver-hsr/src/driver.ts	pumpHost	709	a01bf7d4e955ee1cd79f6bab88c95d02928841be6f0a8ffe671a87d17a8413d3
H02	v2/driver-hsr/src/driver.ts	finishHost	553	a01bf7d4e955ee1cd79f6bab88c95d02928841be6f0a8ffe671a87d17a8413d3
H03	v2/driver-hsr/src/driver.ts	pumpAll	689	a01bf7d4e955ee1cd79f6bab88c95d02928841be6f0a8ffe671a87d17a8413d3
H03	v2/driver-hsr/src/driver.ts	pumpHostTail	769	a01bf7d4e955ee1cd79f6bab88c95d02928841be6f0a8ffe671a87d17a8413d3
H03	v2/driver-hsr/src/driver.ts	pollDegraded	1047	a01bf7d4e955ee1cd79f6bab88c95d02928841be6f0a8ffe671a87d17a8413d3
H04	v2/driver-hsr/src/driver.ts	pumpHostTail	769	a01bf7d4e955ee1cd79f6bab88c95d02928841be6f0a8ffe671a87d17a8413d3
H05	v2/driver-hsr/src/runner-host.ts	runRunnerHost	100	7f1716db45160657ef2109d8a18ae064cbab065f0321b22d29f9a193a3f3c152
H05	v2/driver-hsr/src/runner-host.ts	writeAgentLine	217	7f1716db45160657ef2109d8a18ae064cbab065f0321b22d29f9a193a3f3c152
H06	v2/driver-hsr/src/driver.ts	deliver	563	a01bf7d4e955ee1cd79f6bab88c95d02928841be6f0a8ffe671a87d17a8413d3
H06	v2/driver-hsr/src/driver.ts	writeLine	1180	a01bf7d4e955ee1cd79f6bab88c95d02928841be6f0a8ffe671a87d17a8413d3
H06	v2/driver-hsr/src/driver.ts	onSignal	1244	a01bf7d4e955ee1cd79f6bab88c95d02928841be6f0a8ffe671a87d17a8413d3
H07	v2/driver-hsr/src/driver.ts	recoverAdapterContext	241	a01bf7d4e955ee1cd79f6bab88c95d02928841be6f0a8ffe671a87d17a8413d3
H08	v2/driver-hsr/src/driver.ts	adopt	865	a01bf7d4e955ee1cd79f6bab88c95d02928841be6f0a8ffe671a87d17a8413d3
H08	v2/driver-hsr/src/psutil.ts	verifyProcessIdentity	50	1beb05854deb6fbe12f206d7436648e7be2a8ae00bcfd0acd13ef3f9fb1c1edb
H08	v2/driver-hsr/src/psutil.ts	processStartTimeMs	36	1beb05854deb6fbe12f206d7436648e7be2a8ae00bcfd0acd13ef3f9fb1c1edb
H09	v2/driver-hsr/src/driver.ts	stop	623	a01bf7d4e955ee1cd79f6bab88c95d02928841be6f0a8ffe671a87d17a8413d3
H09	v2/driver-hsr/src/driver.ts	signalGroup	1212	a01bf7d4e955ee1cd79f6bab88c95d02928841be6f0a8ffe671a87d17a8413d3
H09	v2/driver-hsr/src/driver.ts	onExit	1345	a01bf7d4e955ee1cd79f6bab88c95d02928841be6f0a8ffe671a87d17a8413d3
H09	v2/driver-hsr/src/driver.ts	detachAll	1139	a01bf7d4e955ee1cd79f6bab88c95d02928841be6f0a8ffe671a87d17a8413d3
H10	v2/driver-hsr/src/runner-host.ts	runRunnerHost	100	7f1716db45160657ef2109d8a18ae064cbab065f0321b22d29f9a193a3f3c152
H10	v2/driver-hsr/src/driver.ts	consumed	320	a01bf7d4e955ee1cd79f6bab88c95d02928841be6f0a8ffe671a87d17a8413d3
H10	v2/driver-hsr/src/driver.ts	pendingWrites	210	a01bf7d4e955ee1cd79f6bab88c95d02928841be6f0a8ffe671a87d17a8413d3
A01	v2/adapters/src/claude.ts	parseClaudeLine	87	78f4b15d50a1f2eba8f74fcc4672e2b008db544950c6ed03a8a8b183b7f6e046
A01	v2/adapters/src/claude.ts	encodeClaudeMessage	119	78f4b15d50a1f2eba8f74fcc4672e2b008db544950c6ed03a8a8b183b7f6e046
A02	v2/adapters/src/codex.ts	codexAdapter	140	47b766ce87eb9ae67986d6f970aea9511ed3162d08b44513a461ca56475bc0a0
A02	v2/adapters/src/codex.ts	codexThreadRequest	128	47b766ce87eb9ae67986d6f970aea9511ed3162d08b44513a461ca56475bc0a0
A03	v2/adapters/src/grok.ts	grokAdapter	147	71f647f0b8fb2a32427604ddf45e0a7b54a4a1b876418c7f91de8c3024c0d84f
A03	v2/adapters/src/grok.ts	grokAllowPermissionResult	130	71f647f0b8fb2a32427604ddf45e0a7b54a4a1b876418c7f91de8c3024c0d84f
A04	v2/adapters/src/agy.ts	parseAgyLine	47	ae4751062d36382252aae126e7c0ee024bbcf65009cc12adc16721e24e9dbbc7
A04	v2/adapters/src/stub.ts	parseStubLine	35	4fdfca1b8dca0cc396bd495fac99d5fcab7005b40bb598e33413a5747e8f3ccc
A05	v2/adapters/src/args.ts	parseArgUnits	64	c4af70fde51db0a39b2b7c37fee5df4a931516d91399cbdb93a033292d54e43d
A05	v2/adapters/src/args.ts	composeArgv	122	c4af70fde51db0a39b2b7c37fee5df4a931516d91399cbdb93a033292d54e43d
A05	v2/adapters/src/args.ts	codexSpawnPlan	265	c4af70fde51db0a39b2b7c37fee5df4a931516d91399cbdb93a033292d54e43d
A05	v2/adapters/src/args.ts	grokSpawnPlan	225	c4af70fde51db0a39b2b7c37fee5df4a931516d91399cbdb93a033292d54e43d
A06	v2/driver-tmux/src/transcripts.ts	createTranscriptProjector	522	f23289d6199d9d2ec288f60de0a3475ce5aa41e20230763380386d4d2c545509
A06	v2/driver-tmux/src/transcripts.ts	createTranscriptTurnStream	545	f23289d6199d9d2ec288f60de0a3475ce5aa41e20230763380386d4d2c545509
T01	v2/driver-tmux/src/driver.ts	start	237	26fe0516fe49f389d1f5cad30ee0002e829ae1aba75fe6cec8a0ea886b670820
T01	v2/driver-tmux/src/tmux.ts	TmuxServer.run	79	92607334202f8fb8c8cedf7b9d1454d8742a867c4c8082f7f2f6617a6c285eb9
T02	v2/driver-tmux/src/driver.ts	harvest	693	26fe0516fe49f389d1f5cad30ee0002e829ae1aba75fe6cec8a0ea886b670820
T02	v2/driver-tmux/src/transcripts.ts	findTranscript	630	f23289d6199d9d2ec288f60de0a3475ce5aa41e20230763380386d4d2c545509
T03	v2/driver-tmux/src/tail.ts	JsonlTail.poll	34	40e24f0d34401e7990581eef3eff1d1542defbc846a92339e61bb81a95a0d156
T03	v2/driver-tmux/src/driver.ts	mirrorSessionLog	808	26fe0516fe49f389d1f5cad30ee0002e829ae1aba75fe6cec8a0ea886b670820
T04	v2/driver-tmux/src/driver.ts	harvest	693	26fe0516fe49f389d1f5cad30ee0002e829ae1aba75fe6cec8a0ea886b670820
T05	v2/driver-tmux/src/driver.ts	deliver	320	26fe0516fe49f389d1f5cad30ee0002e829ae1aba75fe6cec8a0ea886b670820
T05	v2/driver-tmux/src/driver.ts	inject	392	26fe0516fe49f389d1f5cad30ee0002e829ae1aba75fe6cec8a0ea886b670820
T06	v2/driver-tmux/src/driver.ts	verifyEcho	429	26fe0516fe49f389d1f5cad30ee0002e829ae1aba75fe6cec8a0ea886b670820
T06	v2/driver-tmux/src/driver.ts	countTailInPane	417	26fe0516fe49f389d1f5cad30ee0002e829ae1aba75fe6cec8a0ea886b670820
T07	v2/driver-tmux/src/driver.ts	adopt	507	26fe0516fe49f389d1f5cad30ee0002e829ae1aba75fe6cec8a0ea886b670820
T07	v2/driver-tmux/src/driver.ts	stop	438	26fe0516fe49f389d1f5cad30ee0002e829ae1aba75fe6cec8a0ea886b670820
T07	v2/driver-tmux/src/driver.ts	signal	852	26fe0516fe49f389d1f5cad30ee0002e829ae1aba75fe6cec8a0ea886b670820
T07	v2/driver-tmux/src/driver.ts	onExit	818	26fe0516fe49f389d1f5cad30ee0002e829ae1aba75fe6cec8a0ea886b670820
E01	v2/daemon/src/daemon.ts	planCell	1491	edfdc5756a1be5682e436b6e45e3fc3d2118de379b94bcfe12bee7f00aae34be
E01	v2/driver-cell/src/provision.ts	reserveCell	208	8293821e57266a0b4f7a2e0e6d25c584cac6caf1ac0afad207311af57558be66
E01	v2/driver-cell/src/ledger.ts	writeLedger	96	efdf4762fab38defd8ec3e68dceba52a44a11d17962b027cb4a0302eec429834
